monitoring_location_id,datetime,characteristic,parameter_code,value,unit,fraction,detection_condition,qualifier,lab_name,priority_group,huc8
TCEQMAIN-10249,2010-05-25,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.43,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2010-06-07,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.13,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2011-02-17,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.75,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2011-11-02,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.08,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2012-02-22,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.34,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2012-08-22,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.05,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2012-11-28,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.05,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2013-08-29,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.27,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2013-11-12,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.57,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2014-04-08,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.92,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2014-11-24,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,4.53,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2015-02-12,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.51,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2015-11-30,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.679,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2016-04-06,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.39,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2017-02-08,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.21,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2017-05-03,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.14,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2017-07-25,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.16,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2017-11-29,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.74,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2018-01-30,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.87,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2018-07-18,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.31,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2018-10-16,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.64,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2020-11-17,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,1.04,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2021-03-09,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,0.79,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2021-06-15,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,1.38,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2021-10-05,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,1.19,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2022-05-18,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,1.31,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2022-11-16,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,1.37,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2023-02-14,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,1.06,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2002-12-17,Nitrate,,1.25,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2003-10-30,Nitrate,,0.57,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-01-29,Nitrate,,1.07,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-04-19,Nitrate,,0.62,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-08-04,Nitrate,,0.41,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-10-25,Nitrate,,0.59,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2019-01-23,Nitrate + Nitrite,,0.45,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2019-04-16,Nitrate + Nitrite,,0.52,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2019-08-06,Nitrate + Nitrite,,0.3,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2019-11-07,Nitrate + Nitrite,,0.75,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2023-07-31,Nitrate + Nitrite,,0.77,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2024-01-31,Nitrate + Nitrite,,2.24,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2024-05-23,Nitrate + Nitrite,,10.3,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2024-07-31,Nitrate + Nitrite,,0.97,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2025-07-15,Nitrate + Nitrite,,0.76,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2025-10-29,Nitrate + Nitrite,,1.68,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2000-10-16,Nitrite,,0.66,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2001-01-04,Nitrite,,1.51,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2001-04-11,Nitrite,,0.47,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2001-07-12,Nitrite,,0.15,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2001-11-06,Nitrite,,0.76,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2002-01-29,Nitrite,,0.83,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2002-04-30,Nitrite,,0.55,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2002-07-30,Nitrite,,0.24,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-01-29,Nitrite,,0.1,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-04-19,Nitrite,,0.23,mg/L,,,,,nitrogen,13090002
