huc8,name,water_year,precip_mm,et_mm,runoff_mm,surf_runoff_mm,subsurf_runoff_mm,recharge_mm,balance_mm,soil_moisture_m3m3,swe_mm,canopy_mm,t2_degc,td2_degc,q2_kgkg,n_months
13090001,Los Olmos,2003,852.2012745676395,665.5201660820519,136.29013186932573,133.30134345454712,2.988788414778602,98.37877623916158,50.390976616261895,0.21924522210165542,1.0681003758932097e-08,0.012252379363109673,22.614227141693846,16.2129641605282,0.01269992083150037,12
13090001,Los Olmos,2004,664.3811481857254,684.0270261219194,71.7525725420054,69.79121766684992,1.9613548751554737,85.51443342150849,-91.39845047819949,0.21050213215673452,1.4382555213935828e-07,0.01082120416406373,22.819820192852262,16.179401667205298,0.012751604019248096,12
13090001,Los Olmos,2005,427.0001164253267,478.7636607796882,-0.23440322765500476,-0.9097962130236983,0.6753929853686935,51.14151249167309,-51.52914112670649,0.1799276852070152,0.0006818764505351983,0.011067082181175796,23.57704568359742,15.736078156212841,0.0123191549016482,12
13090001,Los Olmos,2006,445.87797032086996,427.09634599902904,-8.454183556244784,-9.096381139130573,0.6421975828857891,34.92388704110835,27.23580787808571,0.16541775867175593,1.8755394843196736e-08,0.005924202480328572,23.722829155080206,14.959185440478677,0.012053566371656027,12
13090001,Los Olmos,2007,962.4196968303604,751.4219500390981,148.79577159096027,143.34572410910755,5.450047481852709,84.50250214841301,62.20197520030206,0.22481792365271502,8.152826743396972e-08,0.013038066724624956,22.44809387741344,16.169522459794905,0.012830575600154534,12
13090001,Los Olmos,2008,684.9137439642248,568.221585597297,93.01566292975919,89.55229814560032,3.463364784158872,102.9656950200698,23.676495437168555,0.18468693767152553,2.0757647279681057e-10,0.007850970573011698,23.173356921772836,15.200861667040556,0.012253345889488702,12
13090001,Los Olmos,2009,310.0266501268801,438.4303597693295,14.857658629894084,14.078393262740377,0.7792653671537071,88.56634417838144,-143.2613682723435,0.16996017107678862,1.5392395260885046e-08,0.005010998979459901,23.619804637165032,14.90430037497947,0.01191942458011355,12
13090001,Los Olmos,2010,804.0319838218824,649.818363729372,58.66421223039359,56.800416931911144,1.863795298482444,65.82882653466046,95.5494078621168,0.2118239157173348,1.7799431172141634e-07,0.010764721199132013,22.262302204232583,15.45037191981396,0.012416352677462208,12
13090001,Los Olmos,2011,171.6378382090085,328.80637572748014,-0.2796391150230526,-0.6811781264121206,0.401539011389068,62.35638314413101,-156.8888984034486,0.1445783061564392,0.0004405631210454058,0.0034582477272792843,23.570660125660368,14.057405329279902,0.011517562189502596,12
13090001,Los Olmos,2012,471.7733025762672,464.9477475724002,-7.462562428486349,-8.53274209669264,1.0701796682062918,35.60090443578172,14.288117432353358,0.17317636534206746,1.5786369611431273e-07,0.0069371397348677475,23.682219570309428,15.460242943678793,0.012148990669408104,12
